ID,Renda Anual,Sexo,Educacao,Estado Civil,Idade,Tempo de Empresa,Situacao
1,20000,2,2,1,24,13,1
2,120000,2,2,2,26,19,1
14,70000,1,2,2,30,9,1
17,20000,1,1,2,24,11,1
22,120000,2,2,1,39,14,1
23,70000,2,2,2,26,8,1
24,450000,2,1,1,40,4,1
27,60000,1,1,2,27,12,1
32,50000,1,2,2,33,14,1
39,50000,1,1,2,25,9,1
46,210000,1,1,2,29,19,1
47,20000,2,1,2,22,11,1
48,150000,2,5,2,46,8,1
51,70000,1,3,2,42,4,1
61,500000,2,3,1,28,15,1
63,50000,1,1,2,29,1,1
64,50000,2,2,1,46,17,1
66,200000,1,1,1,57,13,1
67,10000,1,2,1,56,10,1
72,320000,1,2,2,29,3,1
79,30000,2,2,2,22,2,1
80,240000,2,2,2,44,5,1
83,60000,1,3,2,30,11,1
87,360000,2,1,1,45,2,1
91,200000,1,1,1,53,10,1
100,20000,1,2,1,38,8,1
104,50000,2,3,2,22,6,1
116,30000,1,1,2,24,1,1
118,80000,1,2,2,26,18,1
121,50000,1,3,2,37,12,1
122,450000,1,1,1,40,13,1
124,310000,2,2,1,35,13,1
128,180000,1,1,1,36,11,1
129,50000,1,2,1,51,19,1
139,50000,2,3,1,51,10,1
141,240000,1,1,2,47,1,1
147,170000,2,2,2,27,2,1
159,210000,1,3,1,45,19,1
174,50000,2,1,2,24,19,1
176,130000,1,3,1,56,14,1
184,60000,2,2,1,24,11,1
186,100000,2,2,1,38,4,1
188,200000,2,3,2,47,12,1
192,60000,2,1,2,27,19,1
196,50000,2,1,2,24,6,1
200,30000,2,3,2,22,8,1
208,210000,2,2,1,41,1,1
209,80000,2,2,2,24,6,1
212,210000,2,1,1,38,5,1
217,240000,2,2,1,36,12,1
221,360000,2,1,1,40,6,1
225,50000,2,3,2,37,18,1
229,50000,1,2,2,23,4,1
232,20000,1,2,2,23,2,1
234,190000,1,2,2,34,16,1
239,240000,2,3,1,50,17,1
240,140000,2,2,3,41,3,1
253,140000,2,2,2,26,1,1
260,220000,1,1,1,48,11,1
268,130000,2,3,2,49,16,1
270,50000,1,2,2,27,11,1
273,260000,2,1,2,58,19,1
275,360000,2,2,2,28,9,1
277,460000,1,1,1,40,11,1
289,100000,2,2,2,25,1,1
291,280000,1,1,2,33,10,1
292,50000,2,2,2,22,19,1
294,10000,1,2,2,27,19,1
300,300000,1,1,2,34,5,1
