,Renda,Idade,Emprestimo,Finalidade,Tempo Trabalho,Taxa,Situação
0,9600,21,1000,3,5.0,11.14,0
1,9600,25,5500,5,1.0,12.87,1
2,65500,23,35000,5,4.0,15.23,1
3,54400,24,35000,5,8.0,14.27,1
4,9900,21,2500,6,2.0,7.14,1
5,77100,26,35000,3,8.0,12.42,1
6,78956,24,35000,5,5.0,11.11,1
7,83000,24,35000,1,8.0,8.9,1
8,10000,21,1600,6,6.0,14.74,1
9,85000,22,35000,6,6.0,10.37,1
10,10000,21,4500,4,2.0,8.63,1
11,95000,23,35000,6,2.0,7.9,1
12,108160,26,35000,3,4.0,18.39,1
13,115000,23,35000,3,2.0,7.9,0
14,500000,23,30000,2,7.0,10.65,0
15,120000,23,35000,3,0.0,7.9,0
16,92111,23,35000,5,7.0,20.25,1
17,113000,23,35000,2,8.0,18.25,1
18,10800,24,1750,3,8.0,10.99,1
19,162500,25,35000,6,2.0,7.49,0
20,137000,25,34800,1,9.0,16.77,0
21,65000,22,34000,3,4.0,17.58,1
22,10980,24,1500,1,0.0,7.29,0
23,80000,22,33950,1,3.0,14.54,1
24,67746,24,33000,4,8.0,12.68,1
25,11000,21,4575,6,3.0,17.74,1
26,11000,23,1400,1,0.0,9.32,0
27,65000,24,32500,4,6.0,9.99,1
28,11389,21,4000,3,5.0,12.84,1
29,11520,21,2000,5,5.0,11.12,1
30,120000,25,32000,6,2.0,6.62,0
31,95000,26,31050,4,7.0,14.17,1
32,306000,25,24250,2,2.0,13.85,0
33,300000,26,7800,5,10.0,13.49,0
34,12000,21,2500,3,5.0,7.51,1
35,48000,22,30000,3,1.0,18.39,1
36,64000,24,30000,2,8.0,14.54,1
37,75000,25,30000,4,4.0,16.89,1
38,62050,26,30000,5,6.0,17.99,1
39,12000,24,2500,6,4.0,12.69,1
40,300000,26,20000,6,10.0,7.88,0
41,300000,23,24250,3,1.0,19.41,0
42,300000,26,10000,4,9.0,10.38,0
43,300000,26,25000,3,0.0,15.33,0
44,300000,25,18000,4,9.0,16.45,0
45,80690,26,30000,1,8.0,7.49,1
46,66300,22,30000,5,4.0,12.69,1
47,89028,26,30000,2,0.0,6.62,1
48,78000,23,30000,2,7.0,18.62,1
49,92004,23,30000,1,6.0,15.23,1
50,97000,23,30000,6,7.0,10.65,1
51,120000,25,30000,3,9.0,7.9,0
52,280000,26,10000,1,4.0,15.96,0
53,277104,26,20000,6,0.0,11.48,0
54,128000,25,30000,1,9.0,7.29,0
55,131000,21,30000,6,0.0,5.99,0
56,275000,22,12000,6,6.0,11.58,0
57,221850,25,25000,5,9.0,15.7,1
58,70000,22,29100,3,6.0,15.99,1
59,12000,22,1500,3,7.0,14.84,0
60,260000,26,28000,4,10.0,10.99,0
61,259000,25,20000,4,9.0,14.42,0
62,255000,24,9600,3,9.0,6.99,0
63,250000,25,25000,5,2.0,13.49,0
64,12000,21,3000,3,6.0,13.61,1
65,65000,23,28000,3,2.0,7.9,1
66,85000,26,28000,6,2.0,7.49,1
67,12000,26,6100,3,2.0,7.51,1
68,88000,22,28000,6,6.0,9.91,1
69,12000,21,4200,1,0.0,13.48,1
70,12000,22,4750,2,6.0,7.14,1
71,83004,24,28000,6,0.0,15.99,1
72,250000,24,18000,3,2.0,12.98,0
73,100000,25,28000,2,5.0,12.69,0
74,110000,26,28000,3,10.0,8.9,0
75,151200,23,28000,2,7.0,11.11,0
76,12000,21,3250,2,5.0,15.68,1
77,70000,22,27500,3,4.0,13.06,1
78,73200,26,27050,6,5.0,15.62,1
79,83000,24,27000,1,5.0,13.49,1
80,62500,23,26000,5,7.0,11.71,1
81,120000,23,25600,3,1.0,12.69,0
82,12360,24,1600,5,2.0,13.57,0
83,60000,22,25475,6,0.0,10.99,1
84,234000,25,20000,5,3.0,14.27,0
85,234000,24,20000,4,8.0,8.88,0
86,234000,26,21600,4,10.0,12.18,0
87,221004,25,11900,2,6.0,14.42,1
88,232500,26,25000,5,0.0,14.17,0
89,230000,25,35000,5,5.0,13.99,0
90,83000,23,25300,3,7.0,10.99,1
91,12600,25,1750,1,3.0,13.61,0
92,42500,21,25000,3,3.0,12.73,1
93,12816,25,3000,2,0.0,12.87,1
94,12960,24,3650,4,1.0,9.91,1
95,226000,26,20000,4,4.0,11.49,0
96,225000,25,30000,4,0.0,19.91,0
97,213000,26,35000,3,6.0,10.65,1
98,12960,24,4500,2,0.0,11.83,1
99,12996,23,2400,2,0.0,13.49,1
100,42000,22,25000,5,6.0,14.59,1
101,48000,26,25000,3,2.0,9.64,1
102,12996,25,3600,5,1.0,14.59,1
103,42360,25,25000,3,1.0,16.35,1
104,49000,21,25000,3,4.0,10.99,1
105,225000,25,25000,6,0.0,18.67,0
106,225000,26,3000,3,1.0,9.32,0
107,225000,23,7500,2,8.0,8.63,0
108,225000,26,25000,6,2.0,10.08,0
109,49464,22,25000,1,5.0,11.83,1
110,50000,23,25000,2,1.0,7.9,1
111,50000,25,25000,4,4.0,5.99,1
112,44000,24,25000,2,2.0,15.33,1
113,50000,23,25000,6,1.0,11.83,1
114,50004,22,25000,6,0.0,10.36,1
115,50004,22,25000,6,3.0,12.23,1
116,52000,22,25000,3,2.0,11.11,1
117,13200,23,4950,2,3.0,7.9,1
118,220000,24,25000,3,1.0,11.58,0
119,216000,23,21000,2,5.0,8.9,0
120,216000,25,25000,3,2.0,16.07,0
121,216000,26,20000,3,10.0,14.22,0
122,215000,23,35000,5,7.0,14.79,0
123,215000,26,12000,3,11.0,7.88,0
124,52000,23,25000,1,1.0,13.22,1
