ID,Renda Anual,Sexo,Educacao,Estado Civil,Idade,Tempo Emp.,Situacao
595,110000,1,3,2,46,9,0
151,140000,1,2,1,32,5,0
8462,100000,2,2,2,27,4,0
444,200000,2,1,2,27,6,0
373,90000,2,1,2,34,8,0
5844,10000,1,2,2,37,7,0
1975,130000,1,1,2,25,8,1
1212,160000,2,3,2,26,3,0
7949,200000,1,2,2,39,6,0
4754,260000,2,1,1,44,1,0
1815,150000,2,2,2,37,7,0
15127,160000,1,2,1,50,8,1
4077,90000,1,2,1,37,6,0
179,20000,2,2,2,22,2,0
4131,50000,1,2,1,51,3,1
11362,130000,1,1,1,29,2,1
8700,10000,1,3,1,37,9,0
8247,160000,1,1,1,43,8,1
17452,70000,2,2,2,44,5,1
8203,130000,2,2,1,44,8,0
5132,210000,2,2,2,34,7,0
13164,30000,1,3,1,50,9,1
8635,230000,1,2,2,27,8,0
11038,150000,1,1,2,32,8,1
8284,20000,1,3,2,51,6,0
4426,380000,1,1,1,41,4,1
17775,110000,2,2,1,54,5,1
2217,300000,2,1,2,36,3,0
8916,50000,2,3,2,51,3,1
6460,180000,1,3,2,47,5,0
6174,160000,2,1,1,48,3,0
71,80000,1,1,2,31,8,0
6678,20000,1,3,2,24,3,0
4212,90000,2,2,2,24,8,0
1547,150000,1,1,2,32,4,0
840,500000,1,1,1,43,1,1
12835,40000,1,2,2,26,1,1
4097,200000,1,2,1,30,9,0
8717,150000,1,2,1,36,3,1
6491,50000,1,3,1,34,2,0
8140,50000,2,2,1,34,6,1
3800,140000,2,2,2,27,2,0
2079,260000,1,1,2,34,1,0
6637,80000,2,3,1,41,9,1
18719,70000,2,2,2,26,9,1
11498,250000,1,1,1,42,1,1
1718,170000,1,1,2,37,7,1
17526,110000,2,2,1,41,8,1
3702,200000,2,1,2,29,7,0
6208,500000,1,1,2,29,2,0
186,100000,2,2,1,38,5,1
8920,50000,1,1,2,23,4,1
1475,110000,2,3,2,29,5,1
17794,160000,2,2,1,51,5,1
1208,200000,1,2,1,33,8,0
15455,20000,1,2,2,23,1,1
3209,80000,2,2,1,23,1,0
5416,500000,1,2,2,67,3,0
6941,260000,2,1,2,33,1,0
5102,140000,2,2,1,35,3,1
555,40000,2,2,2,24,2,0
15970,20000,2,3,1,49,9,1
2891,150000,2,2,1,36,1,0
511,130000,1,2,1,31,4,0
8269,200000,1,1,2,32,8,1
16691,150000,1,2,1,36,7,1
1383,110000,2,1,2,36,2,0
15325,150000,2,1,2,37,6,1
2245,240000,1,1,1,34,3,0
12084,30000,2,2,2,42,2,1
20336,90000,2,3,1,54,2,1
405,160000,2,1,2,29,1,1
3112,70000,1,3,1,47,2,0
12803,260000,2,2,1,53,7,1
5856,230000,2,1,1,30,6,0
9232,450000,1,1,2,31,4,0
3550,50000,1,2,1,28,1,0
11296,130000,2,1,2,30,4,1
8469,50000,1,2,1,36,8,1
929,180000,2,1,2,36,9,0
2515,360000,2,4,2,36,1,0
6134,240000,2,1,2,27,1,0
20813,20000,1,2,2,42,5,1
2929,50000,1,1,2,27,6,0
7048,430000,1,2,1,32,3,1
9227,280000,2,2,1,40,4,0
788,230000,2,1,1,35,4,0
8228,110000,2,2,1,35,9,1
6138,20000,2,2,2,22,9,1
2419,20000,1,2,2,33,7,0
4249,90000,1,3,1,42,9,0
7633,80000,1,3,2,33,4,0
3026,20000,1,2,1,45,6,0
18078,350000,1,2,2,32,8,1
7034,90000,2,2,1,24,8,0
16156,300000,2,2,1,43,2,1
4220,340000,2,1,2,30,2,0
15633,90000,2,2,2,25,2,1
8743,170000,2,2,2,25,5,0
176,130000,1,3,1,56,5,1
6362,100000,2,2,1,28,6,1
