ID,Renda Anual,Sexo,Educacao,Estado Civil,Idade,Tempo Emp.,Situacao
11011,450000,2,1,2,38,1,1
3153,460000,2,1,2,39,7,0
1769,200000,1,1,2,27,7,0
7981,130000,2,1,2,33,7,0
3318,200000,1,1,3,29,8,0
8841,120000,1,1,2,31,8,0
17424,20000,2,3,1,36,1,1
12813,130000,2,2,2,29,5,1
11243,150000,1,1,2,26,1,0
4422,260000,2,1,2,29,3,0
4194,10000,2,1,2,22,7,0
4180,310000,2,3,1,40,1,0
1678,290000,2,1,1,50,6,0
38,60000,2,2,2,22,2,0
20560,20000,1,3,1,26,4,1
10299,150000,2,2,2,36,6,0
7443,260000,2,1,1,49,7,0
18813,260000,2,2,2,27,2,1
7204,50000,1,2,1,50,7,0
5773,20000,2,1,2,22,7,0
11129,90000,2,2,1,39,7,0
9354,140000,1,1,2,28,2,0
10757,50000,1,2,2,22,1,1
11028,360000,1,2,1,28,4,0
5643,80000,2,2,2,41,6,0
851,40000,2,2,2,23,8,0
10879,30000,1,2,2,25,5,0
338,140000,2,2,2,31,3,0
685,320000,1,1,1,40,3,0
191,310000,1,1,2,32,4,0
12155,70000,2,1,1,35,7,0
2354,180000,2,1,2,32,4,0
2395,130000,2,2,2,24,8,0
17736,350000,2,2,1,50,7,1
1626,20000,1,3,1,63,5,1
7216,30000,2,2,1,56,8,1
3191,150000,2,4,2,26,1,0
18956,50000,2,2,2,23,4,1
10179,120000,1,1,2,34,3,0
6205,50000,1,1,1,56,6,1
11412,400000,1,1,2,37,2,0
12330,60000,2,1,2,36,7,1
3257,80000,2,2,2,24,2,1
7698,360000,2,1,2,32,5,0
721,30000,2,2,2,22,6,0
10851,210000,1,2,1,33,3,1
4026,250000,2,3,2,36,2,0
3806,140000,2,2,1,27,4,0
6103,50000,1,2,1,38,7,0
6832,130000,2,3,1,36,6,0
11738,50000,1,3,1,36,9,0
10682,80000,2,2,1,46,1,0
18058,50000,1,2,1,35,3,1
8567,120000,2,3,1,69,4,0
9854,50000,2,2,1,45,2,0
2376,40000,1,2,1,38,2,1
7778,280000,1,2,1,34,3,1
4719,80000,1,2,2,30,5,1
10827,120000,2,1,2,34,1,0
845,500000,1,3,1,39,5,0
7074,140000,2,2,2,31,5,1
19463,30000,2,2,1,49,5,1
10683,480000,2,1,2,33,3,0
8626,150000,2,2,2,23,4,0
9122,60000,1,2,2,30,2,0
13051,20000,1,2,1,43,6,1
1394,20000,2,1,2,23,9,0
12498,200000,1,1,2,34,2,1
5941,60000,2,1,2,25,5,0
9088,240000,2,2,1,45,1,0
2764,20000,2,2,1,22,9,0
6543,120000,2,3,1,52,2,0
1074,360000,1,4,1,66,4,0
8897,130000,2,2,2,33,7,0
7154,150000,2,2,1,37,2,0
12240,200000,2,2,2,29,9,1
1059,80000,2,3,1,67,9,0
10283,120000,2,3,1,47,2,0
11944,60000,2,2,2,26,3,0
6752,30000,1,1,1,32,2,1
3585,140000,2,3,1,28,6,0
3329,500000,2,2,1,39,5,0
9434,200000,2,2,2,36,1,1
15296,30000,2,2,3,41,5,1
5362,230000,1,2,1,34,1,0
10336,50000,2,2,1,45,1,0
16289,30000,2,3,1,35,4,1
11205,50000,2,2,1,40,3,0
14976,50000,1,1,1,28,8,1
336,190000,2,1,2,28,8,0
11849,60000,2,4,1,39,9,0
6882,200000,2,1,1,38,6,0
10789,40000,1,2,2,27,5,0
