ID,Renda Anual,Sexo,Educacao,Estado Civil,Idade,Tempo Emp.,Situacao
3,90000,2,2,2,34,8,0
4,50000,2,2,1,37,6,0
5,50000,1,2,1,57,5,0
6,50000,1,1,2,37,9,0
7,500000,1,1,2,29,6,0
8,100000,2,2,2,23,9,0
9,140000,2,3,1,28,3,0
10,20000,1,3,2,35,7,0
11,200000,2,3,2,34,3,0
12,260000,2,1,2,51,3,0
13,630000,2,2,2,41,7,0
15,250000,1,1,2,29,6,0
16,50000,2,3,3,23,9,0
18,320000,1,1,1,49,5,0
19,360000,2,1,1,49,5,0
20,180000,2,1,2,29,2,0
21,130000,2,3,2,39,6,0
25,90000,1,1,2,23,9,0
26,50000,1,3,2,23,2,0
28,50000,2,3,2,30,2,0
29,50000,2,3,1,47,3,0
30,50000,1,1,2,26,7,0
31,230000,2,1,2,27,9,0
33,100000,1,1,2,32,1,0
34,500000,2,2,1,54,6,0
35,500000,1,1,1,58,4,0
36,160000,1,1,2,30,9,0
37,280000,1,2,1,40,6,0
38,60000,2,2,2,22,2,0
40,280000,1,1,2,31,7,0
41,360000,1,1,2,33,3,0
42,70000,2,1,2,25,6,0
43,10000,1,2,2,22,1,0
44,140000,2,2,1,37,4,0
45,40000,2,1,2,30,2,0
49,380000,1,2,2,32,5,0
50,20000,1,1,2,24,7,0
52,100000,2,3,3,43,5,0
53,310000,2,2,1,49,7,0
54,180000,2,1,2,25,8,0
55,150000,2,1,2,29,9,0
56,500000,2,1,1,45,8,0
57,180000,2,3,1,34,6,0
58,180000,2,2,1,34,3,0
59,200000,2,1,2,34,6,0
60,400000,2,2,1,29,3,0
62,70000,1,2,1,39,6,0
65,130000,2,2,1,51,1,0
68,210000,2,1,2,30,2,0
69,130000,2,3,2,29,8,0
70,20000,1,4,2,22,6,0
71,80000,1,1,2,31,8,0
73,200000,2,2,1,32,7,0
74,290000,2,1,2,37,1,0
75,340000,1,1,2,32,8,0
76,20000,1,2,2,24,5,0
77,50000,1,3,2,25,2,0
78,300000,2,1,1,45,1,0
81,470000,2,3,3,33,5,0
82,360000,2,1,2,26,1,0
84,400000,2,2,1,44,6,0
85,50000,2,3,2,49,4,0
86,160000,1,2,2,33,3,0
88,160000,2,2,2,32,4,0
89,130000,2,1,1,35,8,0
90,20000,1,3,2,44,6,0
92,280000,2,1,2,39,2,0
93,100000,2,1,2,27,7,0
94,160000,2,2,1,37,8,0
95,60000,2,2,2,23,9,0
96,90000,1,2,2,35,2,0
97,360000,1,1,1,43,9,0
98,150000,1,1,2,27,8,0
99,50000,2,3,1,22,7,0
101,140000,1,1,2,32,6,0
102,380000,2,1,2,30,2,0
103,480000,1,1,1,63,7,0
105,60000,2,2,2,26,1,0
106,70000,2,2,2,24,1,0
107,80000,2,2,1,36,8,0
108,350000,1,1,2,52,1,0
109,130000,1,2,2,38,7,0
110,360000,1,2,1,35,8,0
111,330000,2,1,1,31,1,0
112,50000,1,3,1,47,6,0
113,280000,1,2,1,41,5,0
114,100000,2,1,2,24,9,0
115,50000,1,2,2,41,9,0
117,240000,1,1,2,28,9,0
119,400000,1,2,1,34,5,0
120,240000,2,2,2,38,9,0
123,110000,2,1,1,48,9,0
125,20000,1,1,2,27,1,0
126,20000,1,2,2,23,4,0
127,200000,1,3,2,52,9,0
130,60000,1,3,1,55,2,0
131,30000,2,1,2,23,5,0
132,240000,1,1,2,41,3,0
133,420000,1,2,1,34,2,0
134,330000,1,3,1,46,7,0
135,30000,2,2,2,22,1,0
136,240000,1,2,1,34,5,0
137,150000,1,1,2,27,3,0
138,210000,2,2,1,33,2,0
140,50000,1,1,2,24,2,0
142,180000,1,2,2,28,1,0
143,50000,1,2,2,23,8,0
144,170000,1,2,2,29,2,0
145,20000,1,1,2,29,8,0
146,50000,1,1,2,28,4,0
148,200000,1,1,2,34,3,0
149,80000,2,2,1,23,7,0
150,260000,2,1,1,60,1,0
151,140000,1,2,1,32,4,0
152,80000,1,1,2,25,8,0
153,350000,1,1,2,41,4,0
154,280000,2,2,1,56,7,0
155,30000,2,3,2,26,5,0
156,140000,1,1,1,34,9,0
157,200000,2,1,2,37,5,0
158,200000,2,3,2,30,3,0
160,50000,1,3,1,57,8,0
161,30000,1,1,2,41,2,0
162,50000,1,2,2,27,3,0
163,290000,1,3,1,47,3,0
164,250000,2,1,1,34,7,0
165,60000,2,2,1,46,8,0
166,110000,2,1,2,27,9,0
167,370000,1,1,2,50,3,0
168,100000,1,2,1,27,1,0
169,90000,2,2,1,35,2,0
170,50000,2,2,2,22,5,0
171,270000,1,2,2,37,6,0
172,300000,2,1,2,30,4,0
173,50000,2,2,2,22,4,0
175,360000,1,1,2,29,4,0
177,80000,1,1,2,30,1,0
178,50000,1,2,2,30,1,0
179,20000,2,2,2,22,2,0
180,80000,2,2,1,29,2,0
181,240000,1,1,2,37,7,0
182,80000,2,3,2,35,3,0
183,500000,2,1,1,47,8,0
185,20000,1,2,2,25,9,0
187,360000,2,1,2,32,5,0
189,130000,2,2,1,34,4,0
190,20000,2,2,2,31,5,0
191,310000,1,1,2,32,4,0
193,180000,2,1,2,29,1,0
194,180000,2,1,2,24,2,0
195,50000,1,2,1,36,2,0
197,150000,2,2,1,34,5,0
198,20000,2,1,2,22,5,0
199,500000,2,1,1,34,1,0
