,Renda,Idade,Emprestimo,Finalidade,Tempo Trabalho,Taxa,Renda Emp.,Situação
1,9600,21,1000,EDUCATION,5.0,11.14,0.1,0
2,9600,25,5500,MEDICAL,1.0,12.87,0.57,1
3,65500,23,35000,MEDICAL,4.0,15.23,0.53,1
4,54400,24,35000,MEDICAL,8.0,14.27,0.55,1
5,9900,21,2500,VENTURE,2.0,7.14,0.25,1
6,77100,26,35000,EDUCATION,8.0,12.42,0.45,1
7,78956,24,35000,MEDICAL,5.0,11.11,0.44,1
8,83000,24,35000,PERSONAL,8.0,8.9,0.42,1
9,10000,21,1600,VENTURE,6.0,14.74,0.16,1
10,85000,22,35000,VENTURE,6.0,10.37,0.41,1
11,10000,21,4500,HOMEIMPROVEMENT,2.0,8.63,0.45,1
12,95000,23,35000,VENTURE,2.0,7.9,0.37,1
13,108160,26,35000,EDUCATION,4.0,18.39,0.32,1
14,115000,23,35000,EDUCATION,2.0,7.9,0.3,0
15,500000,23,30000,DEBTCONSOLIDATION,7.0,10.65,0.06,0
16,120000,23,35000,EDUCATION,0.0,7.9,0.29,0
17,92111,23,35000,MEDICAL,7.0,20.25,0.32,1
18,113000,23,35000,DEBTCONSOLIDATION,8.0,18.25,0.31,1
19,10800,24,1750,EDUCATION,8.0,10.99,0.16,1
20,162500,25,35000,VENTURE,2.0,7.49,0.22,0
21,137000,25,34800,PERSONAL,9.0,16.77,0.25,0
22,65000,22,34000,EDUCATION,4.0,17.58,0.52,1
23,10980,24,1500,PERSONAL,0.0,7.29,0.14,0
24,80000,22,33950,PERSONAL,3.0,14.54,0.42,1
25,67746,24,33000,HOMEIMPROVEMENT,8.0,12.68,0.49,1
26,11000,21,4575,VENTURE,3.0,17.74,0.42,1
27,11000,23,1400,PERSONAL,0.0,9.32,0.13,0
28,65000,24,32500,HOMEIMPROVEMENT,6.0,9.99,0.5,1
29,11389,21,4000,EDUCATION,5.0,12.84,0.35,1
